Node ID,Network (1) X,Network (1) Y,Network (1) Z,Louvain Community,Degree,Weighted Degree,Community Leaders Filter,Betweenness Centrality,Closeness Centrality,Eccentricity,Clustering Coefficient,PageRank
KAZALD1,-5.8185224533081055,0.57435101270675659,-5.9984030723571777,Community 11,14,15,0,0.051425974816083908,0.7136194109916687,10,0,0.06179582800952934
NTRK2,-1.8159554004669189,-3.1461129188537598,0.15547461807727814,Community 4,4,4,0,0.036942638456821442,0.81215935945510864,9,0,0.013972119687735986
RRAGD,5.058380126953125,2.3823871612548828,9.1527519226074219,Community 0,2,2,0,6.0511115407280158E-07,0.64812201261520386,11,0,0.010015881281186847
ACTG2,4.8635668754577637,2.3134438991546631,8.9334316253662109,Community 0,2,2,0,0.0018256203038617969,0.77601945400238037,10,0,0.009792120685205824
B2M,0.079125471413135529,-4.7678351402282715,1.6338810920715332,Community 43,12,12,0,0.03468618169426918,0.826431393623352,11.5,0,0.039317043593218061
ASB10,0.10032816231250763,-4.9514327049255371,1.7830855846405029,Community 43,1,1,0,0,0.68283247947692871,12.5,0,0.0045049117348087888
TJAP1,-1.2366660833358765,-0.36441293358802795,-1.4056515693664551,Community 27,16,16,0,0.14811365306377411,0.90618336200714111,10.5,0,0.047774721688492283
ZNF639,-0.45264783501625061,0.6224372386932373,-0.48869428038597107,Community 27,24,25,0,0.0510132871568203,0.89459735155105591,11,0,0.066299628815238362
CLGN,-0.30407851934432983,1.3033702373504639,-0.34425431489944458,Community 27,10,11,0,0.024992905557155609,0.86997723579406738,10.5,0,0.035637793002995355
HPCAL1,3.6787757873535156,1.7480745315551758,12.262900352478027,Community 48,5,5,0,0.034991759806871414,0.6444275975227356,10.5,0,0.023548794468743275
DHRS2,0.81809848546981812,1.6002476215362549,10.613846778869629,Community 48,4,4,0,0.03838038444519043,0.76827800273895264,9.5,0,0.013833955079480287
GJB3,-7.5956296920776367,3.300722599029541,5.0364208221435547,Community 17,1,1,0,0,0.60113155841827393,11.5,0,0.0058900780281418508
SERINC5,-7.333585262298584,3.1759376525878906,4.8995704650878906,Community 17,2,2,0,0.0035338490270078182,0.70969140529632568,10.5,0,0.0098257207934163912
SLC39A11,-2.6975276470184326,-8.9894962310791016,0.10741626471281052,Community 5,3,3,0,0.00016095956380013376,0.66369760036468506,10.5,0,0.010286103005295871
EML1,-2.6345617771148682,0.780204176902771,-5.802708625793457,Community 13,2,2,0,0.0022443572524935007,0.62854325771331787,12.5,0,0.0080011788999512622
NINJ1,-0.71765458583831787,1.3943036794662476,-7.8713107109069824,Community 72,5,5,0,0.016293222084641457,0.62080717086791992,12.5,0,0.018710349568782765
NR1H2,4.0832748413085938,2.3150064945220947,7.9017667770385742,Community 0,1,1,0,0,0.77591454982757568,10,0,0.0055227123077860214
SIDT1,-1.8370400667190552,1.7844834327697754,7.1496782302856445,Community 48,7,7,0,0.037694185972213745,0.75535660982131958,11.5,0,0.026331069804996488
DOCK6,-1.9875025749206543,1.7853047847747803,7.3922810554504395,Community 48,1,1,0,0,0.63357537984848022,12.5,0,0.0049215159060420266
CMYA5,0.16775156557559967,-6.4827713966369629,-1.3103758096694946,Community 23,40,43,0,0.44312590360641479,0.9230954647064209,9.5,0,0.15865478141874187
FZD1,0.0819944441318512,-6.684391975402832,-1.5054316520690918,Community 23,1,1,0,0,0.74750828742980957,10.5,0,0.0048556506892459619
UBE2S,-1.9188244342803955,-2.5924515724182129,-1.3847123384475708,Community 2,15,15,0,0.089430585503578186,0.79901123046875,11,0,0.052415737420370777
CAPS,-3.2210302352905273,-2.8987231254577637,-1.4254381656646729,Community 50,4,4,0,0.013929053209722042,0.69602400064468384,12,0,0.015749000000469082
MAPKAPK3,1.9571516513824463,-5.1972870826721191,-4.1862974166870117,Community 23,7,8,0,0.024452541023492813,0.72817844152450562,11.5,0,0.031305546454988176
COQ3,2.1255242824554443,-5.4811153411865234,-4.2860102653503418,Community 23,1,1,0,0,0.61434268951416016,12.5,0,0.0050492816525123342
DNAJC21,-0.90648037195205688,-1.0704680681228638,-0.21901321411132813,Community 27,6,6,0,0.023757267743349075,0.79798328876495361,10.5,0,0.018158239794429407
SOX13,-0.8067924976348877,0.49754461646080017,-0.66753214597702026,Community 27,6,6,0,0.0037764986045658588,0.81250441074371338,10,0,0.015834887070465598
ADIPOR2,-5.2903270721435547,10.260912895202637,-0.83495020866394043,Community 33,1,1,0,0,0.61154335737228394,11,0,0.0055147708923692857
